Scenario,Forecast,Date,RGDPgr_CCAR2018_Adverse,RGDPgr_CCAR2018_Baseline,RGDPgr_CCAR2018_Severely_Adverse,RealDisposableIncomegr_CCAR2018_Adverse,RealDisposableIncomegr_CCAR2018_Severely_Adverse,RealDisposableIncomegr_CCAR2018_Baseline,UE_Rate_CCAR2018_Baseline,UE_Rate_CCAR2018_Adverse,UE_Rate_CCAR2018_Severely_Adverse,UE_Growth_CCAR2018_Baseline,UE_Growth_CCAR2018_Adverse,UE_Growth_CCAR2018_Severely_Adverse,CPI_Inflation_Rate_CCAR2018_Baseline,CPI_Inflation_Rate_CCAR2018_Adverse,CPI_Inflation_Rate_CCAR2018_Severely_Adverse,3M_Treasury_Rate_CCAR2018_Baseline,3M_Treasury_Rate_CCAR2018_Adverse,3M_Treasury_Rate_CCAR2018_Severely_Adverse,5Y_Treasury_Rate_CCAR2018_Severely_Adverse,5Y_Treasury_Rate_CCAR2018_Adverse,5Y_Treasury_Rate_CCAR2018_Baseline,10Y_Treasury_Rate_CCAR2018_Adverse,10Y_Treasury_Rate_CCAR2018_Severely_Adverse,10Y_Treasury_Rate_CCAR2018_Baseline,BBB_Corporate_Yield_CCAR2018_Adverse,BBB_Corporate_Yield_CCAR2018_Severely_Adverse,BBB_Corporate_Yield_CCAR2018_Baseline,Mortgage_Rate_CCAR2018_Adverse,Mortgage_Rate_CCAR2018_Severely_Adverse,Mortgage_Rate_CCAR2018_Baseline,Prime_Rate_CCAR2018_Severely_Adverse,Prime_Rate_CCAR2018_Adverse,Prime_Rate_CCAR2018_Baseline,Dow_Jones_CCAR2018_Severely_Adverse,Dow_Jones_CCAR2018_Adverse,Dow_Jones_CCAR2018_Baseline,HPI_CCAR2018_Severely_Adverse,HPI_CCAR2018_Adverse,HPI_CCAR2018_Baseline,Commercial_RE_Index_CCAR2018_Baseline,Commercial_RE_Index_CCAR2018_Severely_Adverse,Commercial_RE_Index_CCAR2018_Adverse,VIX_CCAR2018_Severely_Adverse,VIX_CCAR2018_Adverse,VIX_CCAR2018_Baseline,EU_RGDPgr_CCAR2018_Baseline,EU_RGDPgr_CCAR2018_Adverse,EU_RGDPgr_CCAR2018_Severely_Adverse,EU_Inflation_CCAR2018_Baseline,EU_Inflation_CCAR2018_Adverse,EU_Inflation_CCAR2018_Severely_Adverse,EU_USD_Rate_CCAR2018_Baseline,EU_USD_Rate_CCAR2018_Adverse,EU_USD_Rate_CCAR2018_Severely_Adverse,UK_RGDPGR_CCAR2018_Baseline,UK_RGDPGR_CCAR2018_Adverse,UK_RGDPGR_CCAR2018_Severely_Adverse,UK_Inflation_CCAR2018_Baseline,UK_Inflation_CCAR2018_Adverse,UK_Inflation_CCAR2018_Severely_Adverse,UK_USD_Rate_CCAR2018_Baseline,UK_USD_Rate_CCAR2018_Adverse,UK_USD_Rate_CCAR2018_Severely_Adverse
Actual,No,2011 Q3,0.8,0.8,0.8,2.1,2.1,2.1,9,9,9,-5.26,-5.26,-5.26,2.6,2.6,2.6,0,0,0,1.1,1.1,1.1,2.5,2.5,2.5,4.9,4.9,4.9,4.3,4.3,4.3,3.3,3.3,3.3,11676.5,11676.5,11676.5,132.8,132.8,132.8,172.1,172.1,172.1,48,48,48,0,0,0,1.3,1.3,1.3,1.345,1.345,1.345,1.5,1.5,1.5,3.5,3.5,3.5,1.562,1.562,1.562
Actual,No,2011 Q4,4.6,4.6,4.6,0.2,0.2,0.2,8.6,8.6,8.6,-9.47,-9.47,-9.47,1.8,1.8,1.8,0,0,0,1,1,1,2.1,2.1,2.1,5,5,5,4,4,4,3.3,3.3,3.3,13019.3,13019.3,13019.3,132.8,132.8,132.8,177.7,177.7,177.7,45.5,45.5,45.5,-1.4,-1.4,-1.4,3.5,3.5,3.5,1.297,1.297,1.297,0.8,0.8,0.8,3.4,3.4,3.4,1.554,1.554,1.554
Actual,No,2012 Q1,2.7,2.7,2.7,6.7,6.7,6.7,8.3,8.3,8.3,-7.78,-7.78,-7.78,2.3,2.3,2.3,0.1,0.1,0.1,0.9,0.9,0.9,2.1,2.1,2.1,4.7,4.7,4.7,3.9,3.9,3.9,3.3,3.3,3.3,14627.5,14627.5,14627.5,134.3,134.3,134.3,179.8,179.8,179.8,23,23,23,-0.6,-0.6,-0.6,2.8,2.8,2.8,1.333,1.333,1.333,2.6,2.6,2.6,2.3,2.3,2.3,1.599,1.599,1.599
Actual,No,2012 Q2,1.9,1.9,1.9,3.1,3.1,3.1,8.2,8.2,8.2,-9.89,-9.89,-9.89,0.8,0.8,0.8,0.1,0.1,0.1,0.8,0.8,0.8,1.8,1.8,1.8,4.5,4.5,4.5,3.8,3.8,3.8,3.3,3.3,3.3,14100.2,14100.2,14100.2,137.6,137.6,137.6,180.8,180.8,180.8,26.7,26.7,26.7,-1.4,-1.4,-1.4,2.3,2.3,2.3,1.267,1.267,1.267,-0.4,-0.4,-0.4,1.9,1.9,1.9,1.569,1.569,1.569
Actual,No,2012 Q3,0.5,0.5,0.5,-0.2,-0.2,-0.2,8,8,8,-11.11,-11.11,-11.11,1.8,1.8,1.8,0.1,0.1,0.1,0.7,0.7,0.7,1.6,1.6,1.6,4.2,4.2,4.2,3.6,3.6,3.6,3.3,3.3,3.3,14894.7,14894.7,14894.7,140.4,140.4,140.4,187.2,187.2,187.2,20.5,20.5,20.5,-0.6,-0.6,-0.6,1.6,1.6,1.6,1.286,1.286,1.286,4.7,4.7,4.7,2.1,2.1,2.1,1.613,1.613,1.613
Actual,No,2012 Q4,0.1,0.1,0.1,10.9,10.9,10.9,7.8,7.8,7.8,-9.3,-9.3,-9.3,2.7,2.7,2.7,0.1,0.1,0.1,0.7,0.7,0.7,1.7,1.7,1.7,3.9,3.9,3.9,3.4,3.4,3.4,3.3,3.3,3.3,14834.9,14834.9,14834.9,143.3,143.3,143.3,186.8,186.8,186.8,22.7,22.7,22.7,-1.7,-1.7,-1.7,2.4,2.4,2.4,1.319,1.319,1.319,-0.6,-0.6,-0.6,4.2,4.2,4.2,1.626,1.626,1.626
Actual,No,2013 Q1,2.8,2.8,2.8,-15.7,-15.7,-15.7,7.7,7.7,7.7,-7.23,-7.23,-7.23,1.6,1.6,1.6,0.1,0.1,0.1,0.8,0.8,0.8,1.9,1.9,1.9,4,4,4,3.5,3.5,3.5,3.3,3.3,3.3,16396.2,16396.2,16396.2,147,147,147,190,190,190,19,19,19,-1.3,-1.3,-1.3,1.2,1.2,1.2,1.282,1.282,1.282,2.6,2.6,2.6,3,3,3,1.519,1.519,1.519
Actual,No,2013 Q2,0.8,0.8,0.8,2.4,2.4,2.4,7.5,7.5,7.5,-8.54,-8.54,-8.54,-0.5,-0.5,-0.5,0.1,0.1,0.1,0.9,0.9,0.9,2,2,2,4.1,4.1,4.1,3.7,3.7,3.7,3.3,3.3,3.3,16771.3,16771.3,16771.3,151,151,151,199.1,199.1,199.1,20.5,20.5,20.5,1.9,1.9,1.9,0.4,0.4,0.4,1.301,1.301,1.301,2.2,2.2,2.2,1.5,1.5,1.5,1.521,1.521,1.521
Actual,No,2013 Q3,3.1,3.1,3.1,2.4,2.4,2.4,7.2,7.2,7.2,-10,-10,-10,2.2,2.2,2.2,0,0,0,1.5,1.5,1.5,2.7,2.7,2.7,4.9,4.9,4.9,4.4,4.4,4.4,3.3,3.3,3.3,17718.3,17718.3,17718.3,154.7,154.7,154.7,208.4,208.4,208.4,17,17,17,1.4,1.4,1.4,1.3,1.3,1.3,1.354,1.354,1.354,3.4,3.4,3.4,2.1,2.1,2.1,1.618,1.618,1.618
Actual,No,2013 Q4,4,4,4,0.9,0.9,0.9,6.9,6.9,6.9,-11.54,-11.54,-11.54,1.6,1.6,1.6,0.1,0.1,0.1,1.4,1.4,1.4,2.8,2.8,2.8,4.8,4.8,4.8,4.3,4.3,4.3,3.3,3.3,3.3,19413.2,19413.2,19413.2,157.9,157.9,157.9,212.2,212.2,212.2,20.3,20.3,20.3,1,1,1,0.3,0.3,0.3,1.378,1.378,1.378,2.1,2.1,2.1,1.7,1.7,1.7,1.657,1.657,1.657
Actual,No,2014 Q1,-0.9,-0.9,-0.9,4.3,4.3,4.3,6.7,6.7,6.7,-12.99,-12.99,-12.99,2.6,2.6,2.6,0,0,0,1.6,1.6,1.6,2.8,2.8,2.8,4.6,4.6,4.6,4.4,4.4,4.4,3.3,3.3,3.3,19711.2,19711.2,19711.2,159.9,159.9,159.9,211,211,211,21.4,21.4,21.4,1.7,1.7,1.7,0.8,0.8,0.8,1.378,1.378,1.378,3.5,3.5,3.5,1.8,1.8,1.8,1.668,1.668,1.668
Actual,No,2014 Q2,4.6,4.6,4.6,5.3,5.3,5.3,6.2,6.2,6.2,-17.33,-17.33,-17.33,1.9,1.9,1.9,0,0,0,1.7,1.7,1.7,2.7,2.7,2.7,4.3,4.3,4.3,4.2,4.2,4.2,3.3,3.3,3.3,20568.7,20568.7,20568.7,161,161,161,219.6,219.6,219.6,17,17,17,0.5,0.5,0.5,0,0,0,1.369,1.369,1.369,3.5,3.5,3.5,1.4,1.4,1.4,1.711,1.711,1.711
Actual,No,2014 Q3,5.2,5.2,5.2,4.2,4.2,4.2,6.1,6.1,6.1,-15.28,-15.28,-15.28,1,1,1,0,0,0,1.7,1.7,1.7,2.5,2.5,2.5,4.2,4.2,4.2,4.1,4.1,4.1,3.3,3.3,3.3,20458.8,20458.8,20458.8,163.1,163.1,163.1,223.2,223.2,223.2,17,17,17,1.7,1.7,1.7,0.3,0.3,0.3,1.263,1.263,1.263,3.1,3.1,3.1,0.8,0.8,0.8,1.622,1.622,1.622
Actual,No,2014 Q4,2,2,2,5.9,5.9,5.9,5.7,5.7,5.7,-17.39,-17.39,-17.39,-0.7,-0.7,-0.7,0,0,0,1.6,1.6,1.6,2.3,2.3,2.3,4.2,4.2,4.2,4,4,4,3.3,3.3,3.3,21424.6,21424.6,21424.6,165.7,165.7,165.7,234,234,234,26.3,26.3,26.3,2,2,2,-0.4,-0.4,-0.4,1.21,1.21,1.21,3.1,3.1,3.1,-0.4,-0.4,-0.4,1.558,1.558,1.558
Actual,No,2015 Q1,3.2,3.2,3.2,4.3,4.3,4.3,5.6,5.6,5.6,-16.42,-16.42,-16.42,-2.5,-2.5,-2.5,0,0,0,1.5,1.5,1.5,2,2,2,4,4,4,3.7,3.7,3.7,3.3,3.3,3.3,21707.6,21707.6,21707.6,168,168,168,249.4,249.4,249.4,22.4,22.4,22.4,3,3,3,-0.9,-0.9,-0.9,1.074,1.074,1.074,1.4,1.4,1.4,-1.3,-1.3,-1.3,1.485,1.485,1.485
Actual,No,2015 Q2,2.7,2.7,2.7,3.8,3.8,3.8,5.4,5.4,5.4,-12.9,-12.9,-12.9,2.4,2.4,2.4,0,0,0,1.5,1.5,1.5,2.2,2.2,2.2,4.2,4.2,4.2,3.8,3.8,3.8,3.3,3.3,3.3,21630.9,21630.9,21630.9,170.1,170.1,170.1,250.8,250.8,250.8,18.9,18.9,18.9,1.3,1.3,1.3,1.9,1.9,1.9,1.115,1.115,1.115,2.3,2.3,2.3,0.8,0.8,0.8,1.573,1.573,1.573
Actual,No,2015 Q3,1.6,1.6,1.6,1.8,1.8,1.8,5.1,5.1,5.1,-16.39,-16.39,-16.39,1.5,1.5,1.5,0,0,0,1.6,1.6,1.6,2.3,2.3,2.3,4.5,4.5,4.5,4,4,4,3.3,3.3,3.3,19959.3,19959.3,19959.3,172.4,172.4,172.4,257.2,257.2,257.2,40.7,40.7,40.7,1.7,1.7,1.7,-0.2,-0.2,-0.2,1.116,1.116,1.116,1.7,1.7,1.7,0.8,0.8,0.8,1.512,1.512,1.512
Actual,No,2015 Q4,0.5,0.5,0.5,2.9,2.9,2.9,5,5,5,-12.28,-12.28,-12.28,0.4,0.4,0.4,0.1,0.1,0.1,1.6,1.6,1.6,2.2,2.2,2.2,4.6,4.6,4.6,3.9,3.9,3.9,3.3,3.3,3.3,21100.9,21100.9,21100.9,174.9,174.9,174.9,254.4,254.4,254.4,24.4,24.4,24.4,1.9,1.9,1.9,-0.1,-0.1,-0.1,1.086,1.086,1.086,2.9,2.9,2.9,0,0,0,1.475,1.475,1.475
Actual,No,2016 Q1,0.6,0.6,0.6,0.2,0.2,0.2,4.9,4.9,4.9,-12.5,-12.5,-12.5,0.1,0.1,0.1,0.3,0.3,0.3,1.4,1.4,1.4,2,2,2,4.6,4.6,4.6,3.7,3.7,3.7,3.5,3.5,3.5,21179.4,21179.4,21179.4,177.2,177.2,177.2,244.6,244.6,244.6,28.1,28.1,28.1,2,2,2,-1.3,-1.3,-1.3,1.139,1.139,1.139,0.8,0.8,0.8,-0.1,-0.1,-0.1,1.438,1.438,1.438
Actual,No,2016 Q2,2.2,2.2,2.2,1.9,1.9,1.9,4.9,4.9,4.9,-9.26,-9.26,-9.26,2.3,2.3,2.3,0.3,0.3,0.3,1.3,1.3,1.3,1.8,1.8,1.8,4.1,4.1,4.1,3.6,3.6,3.6,3.5,3.5,3.5,21621.5,21621.5,21621.5,179.3,179.3,179.3,248.1,248.1,248.1,25.8,25.8,25.8,1.4,1.4,1.4,1.2,1.2,1.2,1.103,1.103,1.103,1.9,1.9,1.9,0.7,0.7,0.7,1.324,1.324,1.324
Actual,No,2016 Q3,2.8,2.8,2.8,0.7,0.7,0.7,4.9,4.9,4.9,-3.92,-3.92,-3.92,1.8,1.8,1.8,0.3,0.3,0.3,1.2,1.2,1.2,1.6,1.6,1.6,3.7,3.7,3.7,3.4,3.4,3.4,3.5,3.5,3.5,22468.6,22468.6,22468.6,181.6,181.6,181.6,265.8,265.8,265.8,18.1,18.1,18.1,1.6,1.6,1.6,1.2,1.2,1.2,1.124,1.124,1.124,2.2,2.2,2.2,2.2,2.2,2.2,1.302,1.302,1.302
Actual,No,2016 Q4,1.8,1.8,1.8,-1.8,-1.8,-1.8,4.7,4.7,4.7,-6,-6,-6,3,3,3,0.4,0.4,0.4,1.7,1.7,1.7,2.2,2.2,2.2,4.1,4.1,4.1,3.8,3.8,3.8,3.5,3.5,3.5,23276.7,23276.7,23276.7,184.1,184.1,184.1,268.5,268.5,268.5,22.5,22.5,22.5,2.7,2.7,2.7,1.8,1.8,1.8,1.055,1.055,1.055,3,3,3,2,2,2,1.234,1.234,1.234
Actual,No,2017 Q1,1.2,1.2,1.2,2.9,2.9,2.9,4.7,4.7,4.7,-4.08,-4.08,-4.08,3.1,3.1,3.1,0.6,0.6,0.6,2,2,2,2.5,2.5,2.5,4.2,4.2,4.2,4.2,4.2,4.2,3.8,3.8,3.8,24508.3,24508.3,24508.3,187.1,187.1,187.1,262.3,262.3,262.3,13.1,13.1,13.1,2.5,2.5,2.5,2.8,2.8,2.8,1.07,1.07,1.07,1.2,1.2,1.2,3.7,3.7,3.7,1.254,1.254,1.254
Actual,No,2017 Q2,3.1,3.1,3.1,2.7,2.7,2.7,4.3,4.3,4.3,-12.24,-12.24,-12.24,-0.3,-0.3,-0.3,0.9,0.9,0.9,1.8,1.8,1.8,2.3,2.3,2.3,4,4,4,4,4,4,4,4,4,25125,25125,25125,190,190,190,272.1,272.1,272.1,16,16,16,2.9,2.9,2.9,0.2,0.2,0.2,1.141,1.141,1.141,1.2,1.2,1.2,3,3,3,1.3,1.3,1.3
Actual,No,2017 Q3,3.2,3.2,3.2,0.5,0.5,0.5,4.3,4.3,4.3,-12.24,-12.24,-12.24,2,2,2,1,1,1,1.8,1.8,1.8,2.3,2.3,2.3,3.9,3.9,3.9,3.9,3.9,3.9,4.3,4.3,4.3,26148.5,26148.5,26148.5,193.2,193.2,193.2,275.2,275.2,275.2,16,16,16,2.9,2.9,2.9,1,1,1,1.181,1.181,1.181,1.6,1.6,1.6,2.4,2.4,2.4,1.34,1.34,1.34
Actual,No,2017 Q4,2.7,2.7,2.7,1.9,1.9,1.9,4.1,4.1,4.1,-12.77,-12.77,-12.77,3.7,3.7,3.7,1.2,1.2,1.2,2.1,2.1,2.1,2.4,2.4,2.4,4,4,4,3.9,3.9,3.9,4.3,4.3,4.3,27673.2,27673.2,27673.2,194.4,194.4,194.4,278.7,278.7,278.7,13.1,13.1,13.1,2.3,2.3,2.3,1.7,1.7,1.7,1.202,1.202,1.202,1.4,1.4,1.4,2.9,2.9,2.9,1.353,1.353,1.353
Supervisory Baseline,Yes,2018 Q1,-1.3,2.5,-4.7,2.4,1.4,4,4,4.5,5,-14.89,-4.26,6.38,2.1,1.7,1.4,1.4,0.6,0.1,1.9,0,2.2,0.7,2.4,2.6,3.8,7.1,4.1,3.2,5.3,4.1,3.3,3.8,4.6,13465.6,24589,28019.2,185.7,190.9,195.6,282.2,261.9,272.4,50.7,28,15.3,2.1,-2.6,-4,1.5,0.8,0.1,1.201,1.133,1.123,1.4,-2.8,-3.5,2.6,1.3,0.6,1.35,1.319,1.316
Supervisory Baseline,Yes,2018 Q2,-3.5,2.8,-8.9,-1.2,-4.2,2.9,4,5.3,6.5,-6.98,23.26,51.16,1.9,1.3,0.9,1.7,0.1,0.1,1.9,0.1,2.4,0.8,2.4,2.7,4.2,7.7,4.3,3.4,5.7,4.3,3.3,3.3,4.8,11631.4,22884.3,28382,171.1,185.1,196.9,285.7,234.1,261.9,62.4,33.1,17.5,2.1,-3.4,-5.2,1.5,0.3,-0.7,1.199,1.113,1.097,1.4,-3.9,-5.1,2.5,0.6,-0.2,1.347,1.304,1.296
Supervisory Baseline,Yes,2018 Q3,-2.4,2.6,-6.8,-1.8,-5.1,2.9,3.9,5.8,7.6,-9.3,34.88,76.74,2.1,1.6,1.2,1.9,0.1,0.1,1.9,0.2,2.5,0.9,2.4,2.8,4.4,7.9,4.4,3.6,5.8,4.4,3.3,3.3,5,10575.2,21104.3,28747.4,159.4,180.4,198.1,289.3,211.8,253.6,59.5,33.7,18.7,2,-2.6,-4.3,1.6,-0.1,-1.1,1.198,1.115,1.084,1.4,-3.4,-4.8,2.4,0.3,-0.7,1.344,1.296,1.284
Supervisory Baseline,Yes,2018 Q4,-1.3,2.5,-4.7,-1.1,-3.9,2.8,3.8,6.3,8.5,-7.32,53.66,107.32,2.1,1.7,1.3,2.1,0.1,0.1,1.9,0.3,2.7,1,2.4,2.9,4.6,8,4.5,3.7,5.9,4.5,3.3,3.3,5.2,10306.1,20857.6,29110.2,150.7,176.9,199.3,292.9,195.1,247.3,52.8,32.8,20,2,-1.9,-3.3,1.6,-0.4,-1.2,1.197,1.118,1.071,1.4,-2.8,-4.1,2.3,0.2,-0.9,1.341,1.287,1.271
Supervisory Baseline,Yes,2019 Q1,-0.7,2.3,-3.6,-0.3,-2.9,2.9,3.8,6.6,9.3,-5,46.67,86,2.2,1.8,1.5,2.2,0.1,0.1,1.9,0.4,2.8,1.1,2.4,3.1,4.8,8.1,4.6,3.9,6,4.7,3.2,3.2,5.3,9689.4,19718.4,29471.8,143.4,174,200.6,296.6,181.1,242.1,47.4,31.7,20.9,1.9,-0.9,-1.6,1.6,-0.6,-0.8,1.202,1.146,1.081,1.4,-1.6,-2.8,2.2,0.4,-0.6,1.344,1.295,1.278
Supervisory Baseline,Yes,2019 Q2,0.4,2.3,-1.3,-0.1,-2.4,2.5,3.8,6.9,9.7,-5,30.19,49.23,2.2,1.9,1.5,2.4,0.1,0.1,1.9,0.5,2.8,1.2,2.4,3.1,4.8,7.9,4.7,3.9,6,4.8,3.2,3.2,5.5,10099.8,19997.9,29829.5,139,172.3,201.9,300.4,172.8,238.9,37.9,28.8,21.5,1.9,-0.1,-0.1,1.6,-0.2,-0.5,1.208,1.155,1.091,1.4,-0.4,-1.4,2.1,0.6,-0.3,1.347,1.301,1.284
Supervisory Baseline,Yes,2019 Q3,1,2.1,-0.2,0.5,-1.4,2.4,3.8,7,10,-2.56,20.69,31.58,2.2,1.9,1.5,2.5,0.1,0.1,1.9,0.6,2.9,1.3,2.4,3.2,4.7,7.5,4.8,3.9,5.8,4.9,3.2,3.2,5.6,10948.6,20579.7,30187.3,136.1,171.1,203.1,304.1,167.2,236.9,29.7,25.7,22.1,1.8,0.7,1,1.7,0.1,-0.1,1.213,1.163,1.101,1.4,0.5,-0.2,2.1,0.8,0.1,1.351,1.307,1.29
Supervisory Baseline,Yes,2019 Q4,2.5,2,2.8,1,-0.1,2.3,3.7,7,9.9,-2.63,11.11,16.47,2.4,2.1,1.8,2.6,0.1,0.1,1.9,0.6,2.9,1.4,2.4,3.3,4.6,7.1,4.9,3.9,5.7,4.9,3.2,3.2,5.7,12031.1,21349.8,30537.8,136.1,171.1,204.4,308,167.2,236.9,23.5,23.1,22.1,1.8,1.3,1.7,1.7,0.4,0.3,1.219,1.171,1.111,1.4,1.1,0.8,2,1,0.4,1.354,1.312,1.295
Supervisory Baseline,Yes,2020 Q1,2.8,2.1,3.5,2.3,1.9,2.2,3.8,6.9,9.7,0,4.55,4.3,2.3,2.1,1.8,2.7,0.1,0.1,1.9,0.7,3,1.6,2.4,3.5,4.6,6.7,5.1,4,5.5,5.1,3.2,3.2,5.7,13234.4,22145.1,30891.7,136.2,171.1,205.9,310.3,167.3,236.9,19.8,21.3,23.5,1.8,1.7,2.1,1.8,0.7,0.6,1.219,1.174,1.116,1.5,1.7,1.5,2,1.1,0.7,1.354,1.313,1.295
Supervisory Baseline,Yes,2020 Q2,3,2.1,4,2.4,2.3,2.3,3.9,6.8,9.5,2.63,-1.45,-2.06,2.3,2,1.7,2.7,0.1,0.1,1.9,0.7,3,1.7,2.4,3.5,4.4,6.3,5.1,4,5.3,5.2,3.2,3.2,5.7,14712.7,23212.5,31255.1,137.3,171.6,207.5,312.6,169.5,237.7,17.5,20.1,23.6,1.7,2,2.4,1.8,0.9,0.8,1.219,1.178,1.121,1.5,2,2.1,1.9,1.2,1,1.354,1.313,1.294
Supervisory Baseline,Yes,2020 Q3,3.2,2.1,4.2,2.6,2.7,2.3,4,6.6,9.2,5.26,-5.71,-8,2.3,2,1.6,2.7,0.1,0.1,1.9,0.8,3.1,1.8,2.4,3.5,4.3,5.9,5.2,4,5.1,5.2,3.2,3.2,5.7,16323.1,24259.3,31622.9,138.8,172.2,209,315,172.3,238.8,16,19.3,23.8,1.7,2.1,2.4,1.9,1.1,1,1.219,1.181,1.127,1.5,2.2,2.4,1.9,1.3,1.2,1.354,1.314,1.294
Supervisory Baseline,Yes,2020 Q4,3.3,2.1,4.5,2.8,3.1,2.3,4,6.5,8.9,8.11,-7.14,-10.1,2.3,2,1.6,2.7,0.1,0.1,1.9,0.9,3.1,1.8,2.4,3.6,4.2,5.5,5.2,3.9,4.9,5.2,3.2,3.2,5.8,18143.2,25405.5,31994.9,140.7,172.9,210.6,317.3,176,240.2,15,18.7,23.8,1.7,2.1,2.4,1.9,1.2,1.1,1.219,1.185,1.132,1.5,2.3,2.6,1.9,1.4,1.3,1.354,1.314,1.293
Supervisory Baseline,Yes,2021 Q1,3.3,2.1,4.5,2.9,3.3,2.3,4.1,6.3,8.6,7.89,-8.7,-11.34,2.3,1.9,1.5,2.7,0.1,0.1,1.9,0.9,3.1,1.9,2.4,3.6,4,5,5.2,3.9,4.7,5.3,3.2,3.2,5.8,20168.3,26624.8,32370.9,143,173.9,212.2,319.7,180.5,241.8,14.4,18.3,23.9,1.6,2,2.3,1.9,1.3,1.2,1.219,1.188,1.136,1.6,2.3,2.6,1.9,1.5,1.4,1.354,1.315,1.293
