Rating3,Rating4,Rating5,Rating6,Rating7,Rating8,Default
0.98276909,0.01551217,0.00116649,0.00023787,0.00010190,0.00001250,0.00019999
0.01183666,0.97400570,0.01134885,0.00167780,0.00037779,0.00005342,0.00069978
0.00094597,0.01849700,0.95315054,0.02271744,0.00146934,0.00032169,0.00289802
0.00040005,0.00095297,0.01527319,0.94643829,0.02160513,0.00164428,0.01368608
0.00005643,0.00024606,0.00072180,0.02256468,0.92568636,0.01132884,0.03939583
0.00020955,0.00003277,0.00232329,0.00885982,0.03773018,0.80509364,0.14575076
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
